Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,PW,CD,Cs,Cation_H,Cation_K,Cation_Li,Cation_Na,Anion_OH,Anion_SO4
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,5,372,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,10,309,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,15,299,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,20,289,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,30,269,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,3,721,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,5,650,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,10,621,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,15,617,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,20,614,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,30,589,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,1,1301,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,2.5,1073,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,5,883,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,10,650,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,20,450,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,98.3,2,0.5,1,1180,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,98.3,2,0.5,2.5,952,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,98.3,2,0.5,5,733,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,98.3,2,0.5,10,531,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,98.3,2,0.5,20,339,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,65.1,2,0.5,1,1079,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,65.1,2,0.5,2.5,883,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,65.1,2,0.5,5,681,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,65.1,2,0.5,10,471,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,65.1,2,0.5,20,271,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,0,0,3.2,2,0.5,1,624,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,0,0,3.2,2,0.5,2.5,495,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,0,0,3.2,2,0.5,5,345,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,0,0,3.2,2,0.5,10,212,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,0,0,3.2,2,0.5,20,93,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,17.46,2,0.6,1,236.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,17.46,2,0.6,2,225.3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,17.46,2,0.6,5,203.3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,17.46,2,0.6,10,175,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,17.46,2,0.6,15,152.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,21,2,0.4,2,624.1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,66.416,2,0.6,1,718.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,66.416,2,0.6,2,696.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,66.416,2,0.6,5,620.8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,66.416,2,0.6,10,536.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,66.416,2,0.6,20,476.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,46.204,2,0.6,1,554,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,46.204,2,0.6,2,540,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,46.204,2,0.6,5,497,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,46.204,2,0.6,10,469,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,2,0,46.204,2,0.6,20,417,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,3.31,2,0.6,1,180,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,3.31,2,0.6,2,167,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,3.31,2,0.6,5,143,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,3.31,2,0.6,10,115,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,3.31,2,0.6,20,78,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,29.3,2,0.65,0.5,654,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,29.3,2,0.65,1,595,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,29.3,2,0.65,5,499,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,36.31,6,0.4,0.5,996.16,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,36.31,6,0.4,1,986.95,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,36.31,6,0.4,2,979.9,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,36.31,6,0.4,3,972.75,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,36.31,6,0.4,4,966,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,36.31,6,0.4,5,957.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,13.09,6,0.4,0.5,354.13,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,13.09,6,0.4,1,342.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,13.09,6,0.4,2,321.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,13.09,6,0.4,3,307.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,13.09,6,0.4,4,294.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,13.09,6,0.4,5,289.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,113.9,2,0.5,1,936,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,113.9,2,0.5,2,883.2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,113.9,2,0.5,5,810,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,113.9,2,0.5,10,746,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,113.9,2,0.5,20,686.4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,67.08,3,0.45,1,426.6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,67.08,3,0.45,10,404.8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,4,0,67.08,3,0.45,20,382.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,51.2,2,0.5,1,464.4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,51.2,2,0.5,2,437,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,51.2,2,0.5,5,367,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,51.2,2,0.5,10,297,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,253.8,6,0.5,1,653.8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,253.8,6,0.5,2,616.4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,253.8,6,0.5,5,571,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,253.8,6,0.5,7,560.2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,253.8,6,0.5,10,544.2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,128.4,6,0.5,1,822,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,128.4,6,0.5,3,753,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,128.4,6,0.5,5,713,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,128.4,6,0.5,7,682,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,128.4,6,0.5,10,630,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,100.2,6,0.5,1,448,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,100.2,6,0.5,3,427,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,100.2,6,0.5,5,406,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,100.2,6,0.5,7,385,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,4,100.2,6,0.5,10,348,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,16.3,3,0.45,1,518.4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,16.3,3,0.45,2,397,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,16.3,3,0.45,3,331,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,16.3,3,0.45,5,272,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,16.3,3,0.45,10,215,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,22.4,3,0.45,1,688.8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,22.4,3,0.45,2,538,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,22.4,3,0.45,3,456,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,22.4,3,0.45,5,384,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,1,1,4,1,22.4,3,0.45,10,317,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,28,2,0.4,0.5,146,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,3,3,3,4,28,2,0.4,1,139,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
